time_s,host_id,vm_id,cpu_util,power_w,temp_c,label
200.9,2,2,0.250,603.33,48.3,1
200.9,0,3,0.250,601.38,47.2,1
200.9,1,4,0.250,602.32,47.1,1
200.9,2,5,0.250,601.93,49.1,1
201.0,0,0,0.250,603.64,48.6,1
201.0,1,1,0.250,601.39,46.3,1
201.0,2,2,0.250,603.33,48.3,1
201.0,0,3,0.250,601.38,47.2,1
201.0,1,4,0.250,602.32,47.1,1
201.0,2,5,0.250,601.93,49.1,1
201.1,0,0,0.250,603.64,48.6,1
201.1,1,1,0.250,601.39,46.3,1
201.1,2,2,0.250,603.33,48.3,1
201.1,0,3,0.250,601.38,47.2,1
201.1,1,4,0.250,602.32,47.1,1
201.1,2,5,0.250,601.93,49.1,1
201.2,0,0,0.250,603.64,48.6,1
201.2,1,1,0.250,601.39,46.3,1
201.2,2,2,0.250,603.33,48.3,1
201.2,0,3,0.250,601.38,47.2,1
201.2,1,4,0.250,602.32,47.1,1
201.2,2,5,0.250,601.93,49.1,1
201.3,0,0,0.250,603.64,48.6,1
201.3,1,1,0.250,601.39,46.3,1
201.3,2,2,0.250,603.33,48.3,1
201.3,0,3,0.250,601.38,47.2,1
201.3,1,4,0.250,602.32,47.1,1
201.3,2,5,0.250,601.93,49.1,1
201.4,0,0,0.250,603.64,48.6,1
201.4,1,1,0.250,601.39,46.3,1
201.4,2,2,0.250,603.33,48.3,1
201.4,0,3,0.250,601.38,47.2,1
201.4,1,4,0.250,602.32,47.1,1
201.4,2,5,0.250,601.93,49.1,1
201.5,0,0,0.250,603.64,48.6,1
201.5,1,1,0.250,601.39,46.3,1
201.5,2,2,0.250,603.33,48.3,1
201.5,0,3,0.250,601.38,47.2,1
201.5,1,4,0.250,602.32,47.1,1
201.5,2,5,0.250,601.93,49.1,1
201.6,0,0,0.250,603.64,48.6,1
201.6,1,1,0.250,601.39,46.3,1
201.6,2,2,0.250,603.33,48.3,1
201.6,0,3,0.250,601.38,47.2,1
201.6,1,4,0.250,602.32,47.1,1
201.6,2,5,0.250,601.93,49.1,1
201.7,0,0,0.250,603.64,48.6,1
201.7,1,1,0.250,601.39,46.3,1
201.7,2,2,0.250,603.33,48.3,1
201.7,0,3,0.250,601.38,47.2,1
201.7,1,4,0.250,602.32,47.1,1
201.7,2,5,0.250,601.93,49.1,1
201.8,0,0,0.250,603.64,48.6,1
201.8,1,1,0.250,601.39,46.3,1
201.8,2,2,0.250,603.33,48.3,1
201.8,0,3,0.250,601.38,47.2,1
201.8,1,4,0.250,602.32,47.1,1
201.8,2,5,0.250,601.93,49.1,1
201.9,0,0,0.250,603.64,48.6,1
201.9,1,1,0.250,601.39,46.3,1
201.9,2,2,0.250,603.33,48.3,1
201.9,0,3,0.250,601.38,47.2,1
201.9,1,4,0.250,602.32,47.1,1
201.9,2,5,0.250,601.93,49.1,1
202.0,0,0,0.250,603.64,48.6,1
202.0,1,1,0.250,601.39,46.3,1
202.0,2,2,0.250,603.33,48.3,1
202.0,0,3,0.250,601.38,47.2,1
202.0,1,4,0.250,602.32,47.1,1
202.0,2,5,0.250,601.93,49.1,1
202.1,0,0,0.250,603.64,48.6,1
202.1,1,1,0.250,601.39,46.3,1
202.1,2,2,0.250,603.33,48.3,1
202.1,0,3,0.250,601.38,47.2,1
202.1,1,4,0.250,602.32,47.1,1
202.1,2,5,0.250,601.93,49.1,1
202.2,0,0,0.250,603.64,48.6,1
202.2,1,1,0.250,601.39,46.3,1
202.2,2,2,0.250,603.33,48.3,1
202.2,0,3,0.250,601.38,47.2,1
202.2,1,4,0.250,602.32,47.1,1
202.2,2,5,0.250,601.93,49.1,1
202.3,0,0,0.250,603.64,48.6,1
202.3,1,1,0.250,601.39,46.3,1
202.3,2,2,0.250,603.33,48.3,1
202.3,0,3,0.250,601.38,47.2,1
202.3,1,4,0.250,602.32,47.1,1
202.3,2,5,0.250,601.93,49.1,1
202.4,0,0,0.250,603.64,48.6,1
202.4,1,1,0.250,601.39,46.3,1
202.4,2,2,0.250,603.33,48.3,1
202.4,0,3,0.250,601.38,47.2,1
202.4,1,4,0.250,602.32,47.1,1
202.4,2,5,0.250,601.93,49.1,1
202.5,0,0,0.250,603.64,48.6,1
202.5,1,1,0.250,601.39,46.3,1
202.5,2,2,0.250,603.33,48.3,1
202.5,0,3,0.250,601.38,47.2,1
202.5,1,4,0.250,602.32,47.1,1
202.5,2,5,0.250,601.93,49.1,1
202.6,0,0,0.250,603.64,48.6,1
202.6,1,1,0.250,601.39,46.3,1
202.6,2,2,0.250,603.33,48.3,1
202.6,0,3,0.250,601.38,47.2,1
202.6,1,4,0.250,602.32,47.1,1
202.6,2,5,0.250,601.93,49.1,1
202.7,0,0,0.250,603.64,48.6,1
202.7,1,1,0.250,601.39,46.3,1
202.7,2,2,0.250,603.33,48.3,1
202.7,0,3,0.250,601.38,47.2,1
202.7,1,4,0.250,602.32,47.1,1
202.7,2,5,0.250,601.93,49.1,1
202.8,0,0,0.250,603.64,48.6,1
202.8,1,1,0.250,601.39,46.3,1
202.8,2,2,0.250,603.33,48.3,1
202.8,0,3,0.250,601.38,47.2,1
202.8,1,4,0.250,602.32,47.1,1
202.8,2,5,0.250,601.93,49.1,1
202.9,0,0,0.250,603.64,48.6,1
202.9,1,1,0.250,601.39,46.3,1
202.9,2,2,0.250,603.33,48.3,1
202.9,0,3,0.250,601.38,47.2,1
202.9,1,4,0.250,602.32,47.1,1
202.9,2,5,0.250,601.93,49.1,1
203.0,0,0,0.250,603.64,48.6,1
203.0,1,1,0.250,601.39,46.3,1
203.0,2,2,0.250,603.33,48.3,1
203.0,0,3,0.250,601.38,47.2,1
203.0,1,4,0.250,602.32,47.1,1
203.0,2,5,0.250,601.93,49.1,1
203.1,0,0,0.250,603.64,48.6,1
203.1,1,1,0.250,601.39,46.3,1
203.1,2,2,0.250,603.33,48.3,1
203.1,0,3,0.250,601.38,47.2,1
203.1,1,4,0.250,602.32,47.1,1
203.1,2,5,0.250,601.93,49.1,1
203.2,0,0,0.250,603.64,48.6,1
203.2,1,1,0.250,601.39,46.3,1
203.2,2,2,0.250,603.33,48.3,1
203.2,0,3,0.250,601.38,47.2,1
203.2,1,4,0.250,602.32,47.1,1
203.2,2,5,0.250,601.93,49.1,1
203.3,0,0,0.250,603.64,48.6,1
203.3,1,1,0.250,601.39,46.3,1
203.3,2,2,0.250,603.33,48.3,1
203.3,0,3,0.250,601.38,47.2,1
203.3,1,4,0.250,602.32,47.1,1
203.3,2,5,0.250,601.93,49.1,1
203.4,0,0,0.250,603.64,48.6,1
203.4,1,1,0.250,601.39,46.3,1
203.4,2,2,0.250,603.33,48.3,1
203.4,0,3,0.250,601.38,47.2,1
203.4,1,4,0.250,602.32,47.1,1
203.4,2,5,0.250,601.93,49.1,1
203.5,0,0,0.250,603.64,48.6,1
203.5,1,1,0.250,601.39,46.3,1
203.5,2,2,0.250,603.33,48.3,1
203.5,0,3,0.250,601.38,47.2,1
203.5,1,4,0.250,602.32,47.1,1
203.5,2,5,0.250,601.93,49.1,1
203.6,0,0,0.250,603.64,48.6,1
203.6,1,1,0.250,601.39,46.3,1
203.6,2,2,0.250,603.33,48.3,1
203.6,0,3,0.250,601.38,47.2,1
203.6,1,4,0.250,602.32,47.1,1
203.6,2,5,0.250,601.93,49.1,1
203.7,0,0,0.250,603.64,48.6,1
203.7,1,1,0.250,601.39,46.3,1
203.7,2,2,0.250,603.33,48.3,1
203.7,0,3,0.250,601.38,47.2,1
203.7,1,4,0.250,602.32,47.1,1
203.7,2,5,0.250,601.93,49.1,1
203.8,0,0,0.250,603.64,48.6,1
203.8,1,1,0.250,601.39,46.3,1
203.8,2,2,0.250,603.33,48.3,1
203.8,0,3,0.250,601.38,47.2,1
203.8,1,4,0.250,602.32,47.1,1
203.8,2,5,0.250,601.93,49.1,1
203.9,0,0,0.250,603.64,48.6,1
203.9,1,1,0.250,601.39,46.3,1
203.9,2,2,0.250,603.33,48.3,1
203.9,0,3,0.250,601.38,47.2,1
203.9,1,4,0.250,602.32,47.1,1
203.9,2,5,0.250,601.93,49.1,1
204.0,0,0,0.250,603.64,48.6,1
204.0,1,1,0.250,601.39,46.3,1
204.0,2,2,0.250,603.33,48.3,1
204.0,0,3,0.250,601.38,47.2,1
204.0,1,4,0.250,602.32,47.1,1
204.0,2,5,0.250,601.93,49.1,1
204.1,0,0,0.250,603.64,48.6,1
204.1,1,1,0.250,601.39,46.3,1
204.1,2,2,0.250,603.33,48.3,1
204.1,0,3,0.250,601.38,47.2,1
204.1,1,4,0.250,602.32,47.1,1
204.1,2,5,0.250,601.93,49.1,1
204.2,0,0,0.250,603.64,48.6,1
204.2,1,1,0.250,601.39,46.3,1
204.2,2,2,0.250,603.33,48.3,1
204.2,0,3,0.250,601.38,47.2,1
204.2,1,4,0.250,602.32,47.1,1
204.2,2,5,0.250,601.93,49.1,1
204.3,0,0,0.250,603.64,48.6,1
204.3,1,1,0.250,601.39,46.3,1
204.3,2,2,0.250,603.33,48.3,1
204.3,0,3,0.250,601.38,47.2,1
204.3,1,4,0.250,602.32,47.1,1
204.3,2,5,0.250,601.93,49.1,1
204.4,0,0,0.250,603.64,48.6,1
204.4,1,1,0.250,601.39,46.3,1
204.4,2,2,0.250,603.33,48.3,1
204.4,0,3,0.250,601.38,47.2,1
204.4,1,4,0.250,602.32,47.1,1
204.4,2,5,0.250,601.93,49.1,1
204.5,0,0,0.250,603.64,48.6,1
204.5,1,1,0.250,601.39,46.3,1
204.5,2,2,0.250,603.33,48.3,1
204.5,0,3,0.250,601.38,47.2,1
204.5,1,4,0.250,602.32,47.1,1
204.5,2,5,0.250,601.93,49.1,1
204.6,0,0,0.250,603.64,48.6,1
204.6,1,1,0.250,601.39,46.3,1
204.6,2,2,0.250,603.33,48.3,1
204.6,0,3,0.250,601.38,47.2,1
204.6,1,4,0.250,602.32,47.1,1
204.6,2,5,0.250,601.93,49.1,1
204.7,0,0,0.250,603.64,48.6,1
204.7,1,1,0.250,601.39,46.3,1
204.7,2,2,0.250,603.33,48.3,1
204.7,0,3,0.250,601.38,47.2,1
204.7,1,4,0.250,602.32,47.1,1
204.7,2,5,0.250,601.93,49.1,1
204.8,0,0,0.250,603.64,48.6,1
204.8,1,1,0.250,601.39,46.3,1
204.8,2,2,0.250,603.33,48.3,1
204.8,0,3,0.250,601.38,47.2,1
204.8,1,4,0.250,602.32,47.1,1
204.8,2,5,0.250,601.93,49.1,1
204.9,0,0,0.250,603.64,48.6,1
204.9,1,1,0.250,601.39,46.3,1
204.9,2,2,0.250,603.33,48.3,1
204.9,0,3,0.250,601.38,47.2,1
204.9,1,4,0.250,602.32,47.1,1
204.9,2,5,0.250,601.93,49.1,1
205.0,0,0,0.250,603.64,48.6,1
205.0,1,1,0.250,601.39,46.3,1
205.0,2,2,0.250,603.33,48.3,1
205.0,0,3,0.250,601.38,47.2,1
205.0,1,4,0.250,602.32,47.1,1
205.0,2,5,0.250,601.93,49.1,1
205.1,0,0,0.250,603.64,48.6,1
205.1,1,1,0.250,601.39,46.3,1
205.1,2,2,0.250,603.33,48.3,1
205.1,0,3,0.250,601.38,47.2,1
205.1,1,4,0.250,602.32,47.1,1
205.1,2,5,0.250,601.93,49.1,1
205.2,0,0,0.250,603.64,48.6,1
205.2,1,1,0.250,601.39,46.3,1
205.2,2,2,0.250,603.33,48.3,1
205.2,0,3,0.250,601.38,47.2,1
205.2,1,4,0.250,602.32,47.1,1
205.2,2,5,0.250,601.93,49.1,1
205.3,0,0,0.250,603.64,48.6,1
205.3,1,1,0.250,601.39,46.3,1
205.3,2,2,0.250,603.33,48.3,1
205.3,0,3,0.250,601.38,47.2,1
205.3,1,4,0.250,602.32,47.1,1
205.3,2,5,0.250,601.93,49.1,1
205.4,0,0,0.250,603.64,48.6,1
205.4,1,1,0.250,601.39,46.3,1
205.4,2,2,0.250,603.33,48.3,1
205.4,0,3,0.250,601.38,47.2,1
205.4,1,4,0.250,602.32,47.1,1
205.4,2,5,0.250,601.93,49.1,1
205.5,0,0,0.250,603.64,48.6,1
205.5,1,1,0.250,601.39,46.3,1
205.5,2,2,0.250,603.33,48.3,1
205.5,0,3,0.250,601.38,47.2,1
205.5,1,4,0.250,602.32,47.1,1
205.5,2,5,0.250,601.93,49.1,1
205.6,0,0,0.250,603.64,48.6,1
205.6,1,1,0.250,601.39,46.3,1
205.6,2,2,0.250,603.33,48.3,1
205.6,0,3,0.250,601.38,47.2,1
205.6,1,4,0.250,602.32,47.1,1
205.6,2,5,0.250,601.93,49.1,1
205.7,0,0,0.250,603.64,48.6,1
205.7,1,1,0.250,601.39,46.3,1
205.7,2,2,0.250,603.33,48.3,1
205.7,0,3,0.250,601.38,47.2,1
205.7,1,4,0.250,602.32,47.1,1
205.7,2,5,0.250,601.93,49.1,1
205.8,0,0,0.250,603.64,48.6,1
205.8,1,1,0.250,601.39,46.3,1
205.8,2,2,0.250,603.33,48.3,1
205.8,0,3,0.250,601.38,47.2,1
205.8,1,4,0.250,602.32,47.1,1
205.8,2,5,0.250,601.93,49.1,1
205.9,0,0,0.250,603.64,48.6,1
205.9,1,1,0.250,601.39,46.3,1
205.9,2,2,0.250,603.33,48.3,1
205.9,0,3,0.250,601.38,47.2,1
205.9,1,4,0.250,602.32,47.1,1
205.9,2,5,0.250,601.93,49.1,1
206.0,0,0,0.250,603.64,48.6,1
206.0,1,1,0.250,601.39,46.3,1
206.0,2,2,0.250,603.33,48.3,1
206.0,0,3,0.250,601.38,47.2,1
206.0,1,4,0.250,602.32,47.1,1
206.0,2,5,0.250,601.93,49.1,1
206.1,0,0,0.250,603.64,48.6,1
206.1,1,1,0.250,601.39,46.3,1
206.1,2,2,0.250,603.33,48.3,1
206.1,0,3,0.250,601.38,47.2,1
206.1,1,4,0.250,602.32,47.1,1
206.1,2,5,0.250,601.93,49.1,1
206.2,0,0,0.250,603.64,48.6,1
206.2,1,1,0.250,601.39,46.3,1
206.2,2,2,0.250,603.33,48.3,1
206.2,0,3,0.250,601.38,47.2,1
206.2,1,4,0.250,602.32,47.1,1
206.2,2,5,0.250,601.93,49.1,1
206.3,0,0,0.250,603.64,48.6,1
206.3,1,1,0.250,601.39,46.3,1
206.3,2,2,0.250,603.33,48.3,1
206.3,0,3,0.250,601.38,47.2,1
206.3,1,4,0.250,602.32,47.1,1
206.3,2,5,0.250,601.93,49.1,1
206.4,0,0,0.250,603.64,48.6,1
206.4,1,1,0.250,601.39,46.3,1
206.4,2,2,0.250,603.33,48.3,1
206.4,0,3,0.250,601.38,47.2,1
206.4,1,4,0.250,602.32,47.1,1
206.4,2,5,0.250,601.93,49.1,1
206.5,0,0,0.250,603.64,48.6,1
206.5,1,1,0.250,601.39,46.3,1
206.5,2,2,0.250,603.33,48.3,1
206.5,0,3,0.250,601.38,47.2,1
206.5,1,4,0.250,602.32,47.1,1
206.5,2,5,0.250,601.93,49.1,1
206.6,0,0,0.250,603.64,48.6,1
206.6,1,1,0.250,601.39,46.3,1
206.6,2,2,0.250,603.33,48.3,1
206.6,0,3,0.250,601.38,47.2,1
206.6,1,4,0.250,602.32,47.1,1
206.6,2,5,0.250,601.93,49.1,1
206.7,0,0,0.250,603.64,48.6,1
206.7,1,1,0.250,601.39,46.3,1
206.7,2,2,0.250,603.33,48.3,1
206.7,0,3,0.250,601.38,47.2,1
206.7,1,4,0.250,602.32,47.1,1
206.7,2,5,0.250,601.93,49.1,1
206.8,0,0,0.250,603.64,48.6,1
206.8,1,1,0.250,601.39,46.3,1
206.8,2,2,0.250,603.33,48.3,1
206.8,0,3,0.250,601.38,47.2,1
206.8,1,4,0.250,602.32,47.1,1
206.8,2,5,0.250,601.93,49.1,1
206.9,0,0,0.250,603.64,48.6,1
206.9,1,1,0.250,601.39,46.3,1
206.9,2,2,0.250,603.33,48.3,1
206.9,0,3,0.250,601.38,47.2,1
206.9,1,4,0.250,602.32,47.1,1
206.9,2,5,0.250,601.93,49.1,1
207.0,0,0,0.250,603.64,48.6,1
207.0,1,1,0.250,601.39,46.3,1
207.0,2,2,0.250,603.33,48.3,1
207.0,0,3,0.250,601.38,47.2,1
207.0,1,4,0.250,602.32,47.1,1
207.0,2,5,0.250,601.93,49.1,1
207.1,0,0,0.250,603.64,48.6,1
207.1,1,1,0.250,601.39,46.3,1
207.1,2,2,0.250,603.33,48.3,1
207.1,0,3,0.250,601.38,47.2,1
207.1,1,4,0.250,602.32,47.1,1
207.1,2,5,0.250,601.93,49.1,1
207.2,0,0,0.250,603.64,48.6,1
207.2,1,1,0.250,601.39,46.3,1
207.2,2,2,0.250,603.33,48.3,1
207.2,0,3,0.250,601.38,47.2,1
207.2,1,4,0.250,602.32,47.1,1
207.2,2,5,0.250,601.93,49.1,1
207.3,0,0,0.250,603.64,48.6,1
207.3,1,1,0.250,601.39,46.3,1
207.3,2,2,0.250,603.33,48.3,1
207.3,0,3,0.250,601.38,47.2,1
207.3,1,4,0.250,602.32,47.1,1
207.3,2,5,0.250,601.93,49.1,1
207.4,0,0,0.250,603.64,48.6,1
207.4,1,1,0.250,601.39,46.3,1
207.4,2,2,0.250,603.33,48.3,1
207.4,0,3,0.250,601.38,47.2,1
207.4,1,4,0.250,602.32,47.1,1
207.4,2,5,0.250,601.93,49.1,1
207.5,0,0,0.250,603.64,48.6,1
207.5,1,1,0.250,601.39,46.3,1
207.5,2,2,0.250,603.33,48.3,1
207.5,0,3,0.250,601.38,47.2,1
207.5,1,4,0.250,602.32,47.1,1
207.5,2,5,0.250,601.93,49.1,1
207.6,0,0,0.250,603.64,48.6,1
207.6,1,1,0.250,601.39,46.3,1
207.6,2,2,0.250,603.33,48.3,1
207.6,0,3,0.250,601.38,47.2,1
207.6,1,4,0.250,602.32,47.1,1
207.6,2,5,0.250,601.93,49.1,1
207.7,0,0,0.250,603.64,48.6,1
207.7,1,1,0.250,601.39,46.3,1
207.7,2,2,0.250,603.33,48.3,1
207.7,0,3,0.250,601.38,47.2,1
207.7,1,4,0.250,602.32,47.1,1
207.7,2,5,0.250,601.93,49.1,1
207.8,0,0,0.250,603.64,48.6,1
207.8,1,1,0.250,601.39,46.3,1
207.8,2,2,0.250,603.33,48.3,1
207.8,0,3,0.250,601.38,47.2,1
207.8,1,4,0.250,602.32,47.1,1
207.8,2,5,0.250,601.93,49.1,1
207.9,0,0,0.250,603.64,48.6,1
207.9,1,1,0.250,601.39,46.3,1
207.9,2,2,0.250,603.33,48.3,1
207.9,0,3,0.250,601.38,47.2,1
207.9,1,4,0.250,602.32,47.1,1
207.9,2,5,0.250,601.93,49.1,1
208.0,0,0,0.250,603.64,48.6,1
208.0,1,1,0.250,601.39,46.3,1
208.0,2,2,0.250,603.33,48.3,1
208.0,0,3,0.250,601.38,47.2,1
208.0,1,4,0.250,602.32,47.1,1
208.0,2,5,0.250,601.93,49.1,1
208.1,0,0,0.250,603.64,48.6,1
208.1,1,1,0.250,601.39,46.3,1
208.1,2,2,0.250,603.33,48.3,1
208.1,0,3,0.250,601.38,47.2,1
208.1,1,4,0.250,602.32,47.1,1
208.1,2,5,0.250,601.93,49.1,1
208.2,0,0,0.250,603.64,48.6,1
208.2,1,1,0.250,601.39,46.3,1
208.2,2,2,0.250,603.33,48.3,1
208.2,0,3,0.250,601.38,47.2,1
208.2,1,4,0.250,602.32,47.1,1
208.2,2,5,0.250,601.93,49.1,1
208.3,0,0,0.250,603.64,48.6,1
208.3,1,1,0.250,601.39,46.3,1
208.3,2,2,0.250,603.33,48.3,1
208.3,0,3,0.250,601.38,47.2,1
208.3,1,4,0.250,602.32,47.1,1
208.3,2,5,0.250,601.93,49.1,1
208.4,0,0,0.250,603.64,48.6,1
208.4,1,1,0.250,601.39,46.3,1
208.4,2,2,0.250,603.33,48.3,1
208.4,0,3,0.250,601.38,47.2,1
208.4,1,4,0.250,602.32,47.1,1
208.4,2,5,0.250,601.93,49.1,1
208.5,0,0,0.250,603.64,48.6,1
208.5,1,1,0.250,601.39,46.3,1
208.5,2,2,0.250,603.33,48.3,1
208.5,0,3,0.250,601.38,47.2,1
208.5,1,4,0.250,602.32,47.1,1
208.5,2,5,0.250,601.93,49.1,1
208.6,0,0,0.250,603.64,48.6,1
208.6,1,1,0.250,601.39,46.3,1
208.6,2,2,0.250,603.33,48.3,1
208.6,0,3,0.250,601.38,47.2,1
208.6,1,4,0.250,602.32,47.1,1
208.6,2,5,0.250,601.93,49.1,1
208.7,0,0,0.250,603.64,48.6,1
208.7,1,1,0.250,601.39,46.3,1
208.7,2,2,0.250,603.33,48.3,1
208.7,0,3,0.250,601.38,47.2,1
208.7,1,4,0.250,602.32,47.1,1
208.7,2,5,0.250,601.93,49.1,1
208.8,0,0,0.250,603.64,48.6,1
208.8,1,1,0.250,601.39,46.3,1
208.8,2,2,0.250,603.33,48.3,1
208.8,0,3,0.250,601.38,47.2,1
208.8,1,4,0.250,602.32,47.1,1
208.8,2,5,0.250,601.93,49.1,1
208.9,0,0,0.250,603.64,48.6,1
208.9,1,1,0.250,601.39,46.3,1
208.9,2,2,0.250,603.33,48.3,1
208.9,0,3,0.250,601.38,47.2,1
208.9,1,4,0.250,602.32,47.1,1
208.9,2,5,0.250,601.93,49.1,1
209.0,0,0,0.250,603.64,48.6,1
209.0,1,1,0.250,601.39,46.3,1
209.0,2,2,0.250,603.33,48.3,1
209.0,0,3,0.250,601.38,47.2,1
209.0,1,4,0.250,602.32,47.1,1
209.0,2,5,0.250,601.93,49.1,1
209.1,0,0,0.250,603.64,48.6,1
209.1,1,1,0.250,601.39,46.3,1
209.1,2,2,0.250,603.33,48.3,1
209.1,0,3,0.250,601.38,47.2,1
209.1,1,4,0.250,602.32,47.1,1
209.1,2,5,0.250,601.93,49.1,1
209.2,0,0,0.250,603.64,48.6,1
209.2,1,1,0.250,601.39,46.3,1
209.2,2,2,0.250,603.33,48.3,1
209.2,0,3,0.250,601.38,47.2,1
209.2,1,4,0.250,602.32,47.1,1
209.2,2,5,0.250,601.93,49.1,1
209.3,0,0,0.250,603.64,48.6,1
209.3,1,1,0.250,601.39,46.3,1
209.3,2,2,0.250,603.33,48.3,1
209.3,0,3,0.250,601.38,47.2,1
209.3,1,4,0.250,602.32,47.1,1
209.3,2,5,0.250,601.93,49.1,1
209.4,0,0,0.250,603.64,48.6,1
209.4,1,1,0.250,601.39,46.3,1
209.4,2,2,0.250,603.33,48.3,1
209.4,0,3,0.250,601.38,47.2,1
209.4,1,4,0.250,602.32,47.1,1
209.4,2,5,0.250,601.93,49.1,1
209.5,0,0,0.250,603.64,48.6,1
209.5,1,1,0.250,601.39,46.3,1
209.5,2,2,0.250,603.33,48.3,1
209.5,0,3,0.250,601.38,47.2,1
209.5,1,4,0.250,602.32,47.1,1
209.5,2,5,0.250,601.93,49.1,1
209.6,0,0,0.250,603.64,48.6,1
209.6,1,1,0.250,601.39,46.3,1
209.6,2,2,0.250,603.33,48.3,1
209.6,0,3,0.250,601.38,47.2,1
209.6,1,4,0.250,602.32,47.1,1
209.6,2,5,0.250,601.93,49.1,1
209.7,0,0,0.250,603.64,48.6,1
209.7,1,1,0.250,601.39,46.3,1
209.7,2,2,0.250,603.33,48.3,1
209.7,0,3,0.250,601.38,47.2,1
209.7,1,4,0.250,602.32,47.1,1
209.7,2,5,0.250,601.93,49.1,1
209.8,0,0,0.250,603.64,48.6,1
209.8,1,1,0.250,601.39,46.3,1
209.8,2,2,0.250,603.33,48.3,1
209.8,0,3,0.250,601.38,47.2,1
209.8,1,4,0.250,602.32,47.1,1
209.8,2,5,0.250,601.93,49.1,1
209.9,0,0,0.250,603.64,48.6,1
209.9,1,1,0.250,601.39,46.3,1
209.9,2,2,0.250,603.33,48.3,1
209.9,0,3,0.250,601.38,47.2,1
209.9,1,4,0.250,602.32,47.1,1
209.9,2,5,0.250,601.93,49.1,1
210.0,0,0,0.250,603.64,48.6,1
210.0,1,1,0.250,601.39,46.3,1
210.0,2,2,0.250,603.33,48.3,1
210.0,0,3,0.250,601.38,47.2,1
210.0,1,4,0.250,602.32,47.1,1
210.0,2,5,0.250,601.93,49.1,1
210.1,0,0,0.250,603.64,48.6,1
210.1,1,1,0.250,601.39,46.3,1
210.1,2,2,0.250,603.33,48.3,1
210.1,0,3,0.250,601.38,47.2,1
210.1,1,4,0.250,602.32,47.1,1
210.1,2,5,0.250,601.93,49.1,1
210.2,0,0,0.250,603.64,48.6,1
210.2,1,1,0.250,601.39,46.3,1
210.2,2,2,0.250,603.33,48.3,1
210.2,0,3,0.250,601.38,47.2,1
210.2,1,4,0.250,602.32,47.1,1
210.2,2,5,0.250,601.93,49.1,1
210.3,0,0,0.250,603.64,48.6,1
210.3,1,1,0.250,601.39,46.3,1
210.3,2,2,0.250,603.33,48.3,1
